id,title,description,thumbnails
kJQP7kiw5Fk,Luis Fonsi - Despacito ft. Daddy Yankee,Despacito” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/DOoUzFp “Imposible” disponible ya en todas las plataformas digitales: ...,"{'default': {'url': 'https://i.ytimg.com/vi/kJQP7kiw5Fk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kJQP7kiw5Fk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg', 'width': 480, 'height': 360}}"
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars Follow on Spotify: http://ron.sn/stream/spotify Listen on Apple Music: http://ron.sn/stream/applemusic ...,"{'default': {'url': 'https://i.ytimg.com/vi/OPf0YbXqDm0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OPf0YbXqDm0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OPf0YbXqDm0/hqdefault.jpg', 'width': 480, 'height': 360}}"
9bZkp7q19f0,PSY - GANGNAM STYLE(강남스타일) M/V,PSY - 'I LUV IT' M/V @ https://youtu.be/Xvjnoagk6GU PSY - 'New Face' M/V @https://youtu.be/OwJPPaEyqhI PSY - 8TH ALBUM '4X2=8' on iTunes ...,"{'default': {'url': 'https://i.ytimg.com/vi/9bZkp7q19f0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9bZkp7q19f0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9bZkp7q19f0/hqdefault.jpg', 'width': 480, 'height': 360}}"
fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement),'Purpose' Available Everywhere Now! iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?,"{'default': {'url': 'https://i.ytimg.com/vi/fRh_vgS2dFE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fRh_vgS2dFE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fRh_vgS2dFE/hqdefault.jpg', 'width': 480, 'height': 360}}"
CevxZvSJLk8,Katy Perry - Roar (Official),Get “Roar” from Katy Perry's 'PRISM': http://katy.to/PRISM Katy Perry Complete Collection on Spotify: http://katy.to/SpotifyCompleteYD Katy Perry Essentials on ...,"{'default': {'url': 'https://i.ytimg.com/vi/CevxZvSJLk8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CevxZvSJLk8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CevxZvSJLk8/hqdefault.jpg', 'width': 480, 'height': 360}}"
hT_nvWreIhg,OneRepublic - Counting Stars,"Get OneRepublic's new album 'Oh My My,' featuring 'Kids,' 'Wherever I Go' and 'Let's Hurt Tonight:' http://smarturl.it/OhMyMy Listen to the Best of OneRepublic ...","{'default': {'url': 'https://i.ytimg.com/vi/hT_nvWreIhg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hT_nvWreIhg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hT_nvWreIhg/hqdefault.jpg', 'width': 480, 'height': 360}}"
0KSOMA3QBU0,Katy Perry - Dark Horse (Official) ft. Juicy J,"Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM Katy Perry Complete Collection on Spotify: http://katy.to/SpotifyCompleteYD Katy Perry ...","{'default': {'url': 'https://i.ytimg.com/vi/0KSOMA3QBU0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0KSOMA3QBU0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0KSOMA3QBU0/hqdefault.jpg', 'width': 480, 'height': 360}}"
PT2_F-1esPk,The Chainsmokers - Closer ft. Halsey (Official Lyric Video),"The Chainsmokres ""Closer"" ft. Halsey out now: http://smarturl.it/tcsCLOSER Directed, Shot, and Edited By: Rory Kramer Drone Operator: ThatOneBlondKid ...","{'default': {'url': 'https://i.ytimg.com/vi/PT2_F-1esPk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PT2_F-1esPk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PT2_F-1esPk/hqdefault.jpg', 'width': 480, 'height': 360}}"
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B,"""Girls Like You” is out now. http://smarturl.it/GLY For more, visit: https://www.facebook.com/maroon5 https://twitter.com/maroon5 ...","{'default': {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aJOTlE1K90k/hqdefault.jpg', 'width': 480, 'height': 360}}"
3AtDnEC4zak,Charlie Puth - We Don&#39;t Talk Anymore (feat. Selena Gomez) [Official Video],"Get ""We Don't Talk Anymore"": http://smarturl.it/CharlieWDTA Voicenotes, the brand new album, out now: https://Atlantic.lnk.to/VoicenotesID Get Charlie's debut ...","{'default': {'url': 'https://i.ytimg.com/vi/3AtDnEC4zak/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3AtDnEC4zak/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3AtDnEC4zak/hqdefault.jpg', 'width': 480, 'height': 360}}"
